ID,°×³ãµÆ,Time,AcPower,×Ü
2.02E+11,80620,1690370954,875395,956015
2.02E+11,80894,1690370955,874222,955116
2.02E+11,80816,1690370956,873301,954117
2.02E+11,81068,1690370957,873182,954250
2.02E+11,81053,1690370958,871361,952414
2.02E+11,80714,1690370959,873009,953723
2.02E+11,81025,1690370960,872384,953409
2.02E+11,80623,1690370961,873052,953675
2.02E+11,80844,1690370962,873996,954840
2.02E+11,81121,1690370963,875397,956518
2.02E+11,81110,1690370964,875607,956717
2.02E+11,80528,1690370965,876101,956629
2.02E+11,81447,1690370966,875232,956679
2.02E+11,80774,1690370967,874309,955083
2.02E+11,81155,1690370968,875433,956588
2.02E+11,81298,1690370969,875789,957087
2.02E+11,81276,1690370970,875947,957223
2.02E+11,81359,1690370971,874797,956156
2.02E+11,81303,1690370972,874950,956253
2.02E+11,81270,1690370973,875109,956379
2.02E+11,81164,1690370974,875136,956300
2.02E+11,81172,1690370975,875662,956834
2.02E+11,81253,1690370976,875920,957173
2.02E+11,80743,1690370977,875913,956656
2.02E+11,80982,1690370978,876316,957298
2.02E+11,81141,1690370979,876884,958025
2.02E+11,80723,1690370980,875396,956119
2.02E+11,81371,1690370981,875668,957039
2.02E+11,81152,1690370982,876542,957694
2.02E+11,80815,1690370983,876046,956861
2.02E+11,81383,1690370984,877149,958532
2.02E+11,81021,1690370985,876556,957577
2.02E+11,80912,1690370986,876360,957272
2.02E+11,80700,1690370987,876257,956957
2.02E+11,81292,1690370988,877207,958499
2.02E+11,80592,1690370989,876835,957427
2.02E+11,80810,1690370990,873928,954738
2.02E+11,80805,1690370991,876683,957488
2.02E+11,81151,1690370992,876491,957642
2.02E+11,80670,1690370993,876946,957616
2.02E+11,81113,1690370994,877206,958319
2.02E+11,80584,1690370995,876525,957109
2.02E+11,80661,1690370996,877745,958406
2.02E+11,80902,1690370997,876405,957307
2.02E+11,80868,1690370998,876481,957349
2.02E+11,80951,1690370999,876107,957058
2.02E+11,80348,1690371000,876189,956537
2.02E+11,80859,1690371001,876360,957219
2.02E+11,80931,1690371002,875940,956871
2.02E+11,80879,1690371003,876198,957077
2.02E+11,80777,1690371004,875768,956545
2.02E+11,80461,1690371005,876183,956644
2.02E+11,80935,1690371006,876242,957177
2.02E+11,81081,1690371007,875383,956464
2.02E+11,80934,1690371008,875909,956843
2.02E+11,80898,1690371009,875720,956618
2.02E+11,80622,1690371010,874722,955344
2.02E+11,81087,1690371011,875243,956330
2.02E+11,81020,1690371012,876416,957436
2.02E+11,80576,1690371013,875365,955941
2.02E+11,81235,1690371014,875995,957230
2.02E+11,80976,1690371015,875191,956167
2.02E+11,80772,1690371016,875465,956237
2.02E+11,81165,1690371017,875430,956595
2.02E+11,81085,1690371018,875548,956633
2.02E+11,80789,1690371019,876126,956915
2.02E+11,81355,1690371020,875969,957324
2.02E+11,80987,1690371021,875327,956314
2.02E+11,80907,1690371022,876339,957246
2.02E+11,80064,1690371023,875060,955124
2.02E+11,80989,1690371024,874682,955671
2.02E+11,80830,1690371025,875097,955927
2.02E+11,80897,1690371026,875095,955992
2.02E+11,80949,1690371027,875694,956643
2.02E+11,80752,1690371028,876210,956962
2.02E+11,80793,1690371029,876912,957705
2.02E+11,80817,1690371030,877244,958061
2.02E+11,81060,1690371031,876007,957067
2.02E+11,80954,1690371032,875841,956795
2.02E+11,80793,1690371033,876039,956832
2.02E+11,81046,1690371034,872596,953642
2.02E+11,80951,1690371035,875473,956424
2.02E+11,80835,1690371036,874549,955384
2.02E+11,81019,1690371037,875260,956279
2.02E+11,81096,1690371038,873669,954765
2.02E+11,81378,1690371039,875925,957303
2.02E+11,81043,1690371040,874449,955492
2.02E+11,80918,1690371041,875776,956694
2.02E+11,81117,1690371042,876658,957775
2.02E+11,80643,1690371043,875874,956517
2.02E+11,80733,1690371044,876225,956958
2.02E+11,80804,1690371045,876817,957621
2.02E+11,80948,1690371046,877079,958027
2.02E+11,81040,1690371047,875455,956495
2.02E+11,80939,1690371048,876408,957347
2.02E+11,80960,1690371049,876191,957151
2.02E+11,81340,1690371050,875313,956653
2.02E+11,80957,1690371051,874582,955539
2.02E+11,80820,1690371052,875074,955894
2.02E+11,80888,1690371053,875306,956194
2.02E+11,80739,1690371054,875242,955981
2.02E+11,81109,1690371055,874815,955924
2.02E+11,80901,1690371056,874591,955492
2.02E+11,80802,1690371057,874548,955350
2.02E+11,80972,1690371058,875129,956101
2.02E+11,80824,1690371059,876035,956859
2.02E+11,81116,1690371060,875761,956877
2.02E+11,80897,1690371061,875842,956739
2.02E+11,80950,1690371062,875819,956769
2.02E+11,81069,1690371063,875857,956926
2.02E+11,81004,1690371064,875353,956357
2.02E+11,80978,1690371065,875484,956462
2.02E+11,80598,1690371066,875103,955701
2.02E+11,80734,1690371067,874941,955675
2.02E+11,80844,1690371068,874455,955299
2.02E+11,81171,1690371069,873334,954505
2.02E+11,81062,1690371070,874277,955339
2.02E+11,80912,1690371071,874357,955269
2.02E+11,80665,1690371072,875418,956083
2.02E+11,81323,1690371073,876756,958079
2.02E+11,81077,1690371074,874817,955894
2.02E+11,80827,1690371075,876170,956997
2.02E+11,81048,1690371076,874875,955923
2.02E+11,80891,1690371077,876260,957151
2.02E+11,80831,1690371078,876334,957165
2.02E+11,81100,1690371079,875734,956834
2.02E+11,80997,1690371080,875587,956584
2.02E+11,80937,1690371081,874573,955510
2.02E+11,80857,1690371082,875474,956331
2.02E+11,81162,1690371083,875337,956499
2.02E+11,80790,1690371084,876215,957005
2.02E+11,80891,1690371085,875891,956782
2.02E+11,80944,1690371086,875931,956875
2.02E+11,81002,1690371087,875192,956194
2.02E+11,81044,1690371088,874216,955260
2.02E+11,80626,1690371089,874710,955336
2.02E+11,81154,1690371090,873470,954624
2.02E+11,80977,1690371091,873817,954794
2.02E+11,80870,1690371092,873468,954338
2.02E+11,80546,1690371093,874004,954550
2.02E+11,81022,1690371094,874185,955207
2.02E+11,80830,1690371095,874962,955792
2.02E+11,80468,1690371096,875391,955859
2.02E+11,80474,1690371097,875101,955575
2.02E+11,80517,1690371098,875688,956205
2.02E+11,80361,1690371099,875666,956027
2.02E+11,80883,1690371100,876860,957743
2.02E+11,80375,1690371101,1584363,1664738
2.02E+11,80628,1690371102,1583012,1663640
2.02E+11,80518,1690371103,1583713,1664231
2.02E+11,80904,1690371104,1583406,1664310
2.02E+11,80611,1690371105,1583177,1663788
2.02E+11,80768,1690371106,1582262,1663030
2.02E+11,80757,1690371107,1581867,1662624
2.02E+11,80358,1690371108,1580231,1660589
2.02E+11,80731,1690371109,1579783,1660514
2.02E+11,80599,1690371110,1581880,1662479
2.02E+11,80559,1690371111,1581330,1661889
2.02E+11,80180,1690371111,1581880,1662060
2.02E+11,80715,1690371113,1582443,1663158
2.02E+11,80851,1690371114,1581656,1662507
2.02E+11,80771,1690371115,1584098,1664869
2.02E+11,80591,1690371116,1582575,1663166
2.02E+11,80681,1690371117,1583580,1664261
2.02E+11,80223,1690371118,1582645,1662868
2.02E+11,81125,1690371119,1583561,1664686
2.02E+11,81125,1690371120,1583559,1664684
2.02E+11,80883,1690371121,1582363,1663246
2.02E+11,80576,1690371122,1582383,1662959
2.02E+11,80994,1690371123,1580680,1661674
2.02E+11,80763,1690371124,1581935,1662698
2.02E+11,80783,1690371125,1580977,1661760
2.02E+11,80568,1690371126,1581404,1661972
2.02E+11,80716,1690371127,1580607,1661323
2.02E+11,81136,1690371128,1582934,1664070
2.02E+11,80750,1690371129,1582397,1663147
2.02E+11,80766,1690371130,1581123,1661889
2.02E+11,81298,1690371131,1582772,1664070
2.02E+11,81534,1690371132,1584042,1665576
2.02E+11,81163,1690371133,1583915,1665078
2.02E+11,80710,1690371134,1584641,1665351
2.02E+11,81234,1690371135,1584544,1665778
2.02E+11,80876,1690371136,1583928,1664804
2.02E+11,80599,1690371137,1583679,1664278
2.02E+11,80847,1690371138,1582873,1663720
2.02E+11,80976,1690371139,1582086,1663062
2.02E+11,81266,1690371140,1582109,1663375
2.02E+11,80963,1690371141,1580344,1661307
2.02E+11,80930,1690371142,1582302,1663232
2.02E+11,80863,1690371143,1582315,1663178
2.02E+11,80786,1690371144,1581355,1662141
2.02E+11,80362,1690371145,1582690,1663052
2.02E+11,80758,1690371146,1581958,1662716
2.02E+11,80611,1690371147,1583409,1664020
2.02E+11,80534,1690371148,1583459,1663993
2.02E+11,80784,1690371149,1583500,1664284
2.02E+11,80740,1690371150,1584332,1665072
2.02E+11,80548,1690371151,1583253,1663801
2.02E+11,80887,1690371152,1584508,1665395
2.02E+11,80826,1690371153,1583108,1663934
2.02E+11,80553,1690371154,1583238,1663791
2.02E+11,80690,1690371155,1584148,1664838
2.02E+11,80684,1690371156,1582328,1663012
2.02E+11,80685,1690371157,1583913,1664598
2.02E+11,80516,1690371158,1582632,1663148
2.02E+11,80760,1690371159,1581812,1662572
2.02E+11,80712,1690371160,1582629,1663341
2.02E+11,80837,1690371161,1580768,1661605
2.02E+11,80494,1690371162,1580999,1661493
2.02E+11,80611,1690371163,1579669,1660280
2.02E+11,80963,1690371164,1580684,1661647
2.02E+11,81135,1690371165,1582188,1663323
2.02E+11,80613,1690371166,1580927,1661540
2.02E+11,81083,1690371167,1580373,1661456
2.02E+11,81258,1690371168,1580141,1661399
2.02E+11,81284,1690371169,1580796,1662080
2.02E+11,80814,1690371170,1579935,1660749
2.02E+11,81072,1690371171,1580262,1661334
2.02E+11,80993,1690371172,873848,954841
2.02E+11,80612,1690371173,874684,955296
2.02E+11,81087,1690371174,874592,955679
2.02E+11,81083,1690371175,876171,957254
2.02E+11,80485,1690371176,876554,957039
2.02E+11,81098,1690371177,876602,957700
2.02E+11,80833,1690371178,875972,956805
2.02E+11,81158,1690371179,875976,957134
2.02E+11,80869,1690371180,875242,956111
2.02E+11,81163,1690371181,875847,957010
2.02E+11,80387,1690371182,875325,955712
2.02E+11,81096,1690371183,876233,957329
2.02E+11,80684,1690371184,876208,956892
2.02E+11,80813,1690371185,875687,956500
2.02E+11,80859,1690371186,876624,957483
